,Date,Open,Close,High,Low,Volume
1399,2022-06-13 22:35:00,23055.0,23029.0,23055.87409066,23016.0,1.35150769
1398,2022-06-13 22:36:00,23018.0,23032.0,23032.65299392,23007.70443706,1.55137328
1397,2022-06-13 22:37:00,23033.0,22979.0,23033.0,22979.0,1.19832701
1396,2022-06-13 22:38:00,22985.0,22947.0,22985.0,22947.0,1.20547236
1395,2022-06-13 22:39:00,22949.0,22897.0,22958.0,22893.0,3.88839331
1394,2022-06-13 22:40:00,22913.53270174,22942.0,22963.41432409,22886.0,3.29691549
1393,2022-06-13 22:41:00,22936.0,22868.0,22937.0,22868.0,43.93887046
1392,2022-06-13 22:42:00,22867.0,22837.0,22892.0,22822.0,7.36070115
1391,2022-06-13 22:43:00,22834.12093308,22821.98222651,22834.12093308,22750.0,11.47972487
1390,2022-06-13 22:44:00,22829.0,22781.0,22869.0,22777.0,2.96795941
1389,2022-06-13 22:45:00,22796.0,22751.0,22836.10451183,22750.0,3.34092385
1388,2022-06-13 22:46:00,22751.36793563,22780.0,22780.0,22723.0,13.3105312
1387,2022-06-13 22:47:00,22778.0,22735.0,22785.0,22723.0,3.18740903
1386,2022-06-13 22:48:00,22729.0,22736.0,22741.0,22714.0,4.76535346
1385,2022-06-13 22:49:00,22742.0,22796.0,22851.0,22740.0,6.69298156
1384,2022-06-13 22:50:00,22796.0,22798.0,22806.0,22773.0,5.43871254
1383,2022-06-13 22:51:00,22791.0,22816.0,22826.62782936,22783.0,1.5595701000000002
1382,2022-06-13 22:52:00,22824.0,22791.0,22824.0,22791.0,0.81056525
1381,2022-06-13 22:53:00,22786.57685539,22724.0,22786.57685539,22718.0,2.90666117
1380,2022-06-13 22:54:00,22726.0,22725.0,22755.95419748,22725.0,2.45449151
1379,2022-06-13 22:55:00,22725.0,22700.0,22736.0,22700.0,2.09671089
1378,2022-06-13 22:56:00,22722.58424648,22693.0,22731.0,22692.0,2.09595633
1377,2022-06-13 22:57:00,22693.0,22671.0,22696.0,22645.0,14.384906280000001
1376,2022-06-13 22:58:00,22663.0,22614.0,22667.0,22611.0,4.9207640999999995
