,Date,Open,Close,High,Low,Volume
3999,2022-06-11 03:56:00,29295.0,29292.0,29296.0,29292.0,0.0152566
3998,2022-06-11 03:57:00,29294.0,29298.0,29298.0,29294.0,0.00545888
3997,2022-06-11 03:58:00,29297.0,29298.0,29298.0,29296.0,0.01557443
3996,2022-06-11 03:59:00,29293.0,29289.0,29295.0,29289.0,0.00060918
3995,2022-06-11 04:00:00,29291.0,29298.0,29299.0,29291.0,1.88278437
3994,2022-06-11 04:01:00,29298.0,29297.82831782,29299.0,29297.82831782,1.6458344500000002
3993,2022-06-11 04:02:00,29298.0,29297.82831782,29298.0,29297.82831782,0.01209642
3992,2022-06-11 04:03:00,29298.0,29297.0,29298.0,29295.0,0.11543315
3991,2022-06-11 04:04:00,29297.0,29287.0,29298.0,29286.0,0.01735941
3990,2022-06-11 04:05:00,29287.0,29276.0,29287.0,29275.0,0.83425795
3989,2022-06-11 04:06:00,29279.0,29276.0,29281.0,29275.0,0.90603011
3988,2022-06-11 04:07:00,29275.0,29275.0,29275.0,29275.0,0.01387368
3987,2022-06-11 04:08:00,29275.0,29308.24505889,29313.0,29275.0,1.96459249
3986,2022-06-11 04:09:00,29310.0,29334.0,29334.0,29310.0,0.61498962
3985,2022-06-11 04:10:00,29334.32510117,29334.0,29335.0,29334.0,0.010257549999999999
3984,2022-06-11 04:11:00,29334.0,29321.0,29334.0,29321.0,1.4631563
3983,2022-06-11 04:12:00,29321.6380117,29321.0,29322.0,29321.0,0.74775311
3982,2022-06-11 04:13:00,29324.0,29326.0,29326.0,29324.0,0.0165215
3981,2022-06-11 04:14:00,29326.0,29326.0,29326.0,29325.0,0.04621817
3980,2022-06-11 04:15:00,29325.0,29310.0,29326.0,29310.0,2.83061417
3979,2022-06-11 04:16:00,29306.0,29310.0,29310.0,29306.0,0.51681611
3978,2022-06-11 04:17:00,29310.0,29310.0,29310.0,29310.0,0.32576032
3977,2022-06-11 04:18:00,29311.0,29311.0,29311.0,29310.0,0.014310110000000001
3976,2022-06-11 04:19:00,29325.0,29330.0,29331.0,29323.0,0.33963305
3975,2022-06-11 04:20:00,29334.0,29331.0,29339.0,29331.0,0.82957927
3974,2022-06-11 04:21:00,29331.0,29331.0,29335.0,29331.0,0.00524855
3973,2022-06-11 04:22:00,29331.0,29340.0,29340.0,29331.0,0.01023624
3972,2022-06-11 04:23:00,29340.0,29353.0,29353.0,29340.0,0.36259997
